pincode,circle,region,division,offices
753011,Odisha circle,Bhubaneswar HQ Region,Cuttack City Division,"Bhanpur B.O, Khalarda B.O, Khandeita B.O, Sankhatras B.O, Urali B.O, Uttampur B.O, Gopalpur S.O (Cuttack)"
753012,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"A D Market S.O, Khannagar S.O"
753013,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kalyani Nagar S.O, Sri Aurobinda Marg S.O"
753014,Odisha circle,Bhubaneswar HQ Region,Cuttack City Division,"Bidanasi B.O, Avinab Bidanasi S.O"
753015,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Sector ll CDA, Cuttack S.O"
753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack
754001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Fulnakhara S.O, Banguary B.O, Barimunda B.O, Gobabasta B.O, Kalyanpur B.O, Kothapatna B.O, Mahidharpara B.O, Raipur Cuttack B.O, Telengapentha B.O"
754002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Sundargram S.O, Kantapada B.O, Khandol B.O"
754003,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Govindpur S.O (Cuttack), Bramhanda B.O, G.Nahalpur B.O, Sadar Harianta B.O, Sailo Jharpada B.O"
754004,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Niali S.O, B B Garh B.O, Bagalsahi B.O, Bilasuni B.O, Jallarpur B.O, Kapasi B.O, Karanga B.O, Krushnaprasad B.O, Madhab B.O, Nariso B.O, Nuagaon B.O, Nuapatna B.O, Pahanga B.O"
754005,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Barang S.O, B G P Pur B.O, Belgachhia B.O, Chandaka B.O, Dara B.O, Daruthenga B.O, Gandarpur B.O, Raghunathpur B.O"
754006,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Mundali Colony S.O, Banra B.O, Godisahi B.O, Naraj B.O"
754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O, Kuspangi B.O, Padanpur B.O, Pathapur B.O, Talabasta B.O, Dompara S.O"
754008,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Banki Tulasipur B.O, Bilipada B.O, Brahmapura B.O, Dhansarpatna  B.O, Durgapur B.O, Ghasiput B.O, B Harirajpur B.O, Narganga B.O, Nuagaon B.O, Banki S.O, Patapur B.O, Pathuriapada B.O, Ragadi B.O, Banki College S.O"
754009,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Annuary B.O, Baideswar B.O, Balabhadrapur B.O, Bania  B.O, Kantakai B.O, Kendupalli B.O, Krishnapallipatna B.O, Pandalam B.O, Puinchha B.O, Rajib B.O, Kalapathar S.O"
754010,Odisha circle,Bhubaneswar HQ Region,Cuttack City Division,"Anlo B.O, Bairoi S.O, Uaradha B.O"
754011,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,Adaspur S.O
754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O
754013,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,CISF Mundali S.O
754018,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Bramhansailo S.O, Badamulei B.O, Patasundarpur B.O, Postal B.O, Sailo Badbail B.O"
754021,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"JAGATPUR S.O, NIMPUR B.O"
754022,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Kotasahi S.O, Bainchuan B.O, Bhagatpur B.O, Bhatimunda B.O, Garudagaon B.O, Karanji B.O, Kairapari B.O, Safa B.O, Uchapada B.O"
754023,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"CHHATIA S.O, BAJAPURA B.O, Bandalo B.O, GobindpurSidhagiri B.O, Kaitha B.O, Rudrapur B.O, Samsarpur B.O"
754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O, Chandital B.O"
754025,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Birol B.O, Harianta B.O, Narpada B.O, Choudwar S.O, Nakhara B.O, Salagaon B.O, Choudwar Bazar S.O"
754026,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Daulatabad S.O (Cuttack)
754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O, Kayalpada B.O, Mancheswar B.O"
754028,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Charbatia S.O, Agrahat B.O, Badasamantarapur B.O, Chhagaon B.O, Dalijoda Berhampur B.O, Gobara B.O, Gurudijhatia B.O, Kumarpur B.O, Mangarajpur B.O, Sankarpur B.O"
754029,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Athagarh H.O, Athagarh College S.O"
754030,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tigiria S.O, Achalkote B.O, Badanauput B.O, Bandalo B.O, Baunsput B.O, Bindhanima B.O, Gadadharpur B.O, Panchagaon B.O, Puruna Tigiria B.O, Viruda B.O"
754031,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Barambagarh S.O, Badakambilo B.O, Damangadia B.O, Banamalipur B.O, Bangirisingha B.O, Beliapal B.O, Dasarathipur B.O, Gadapokhari B.O, Gopamathura B.O, Gopapur B.O, Ichhapur B.O, Jhajia B.O, Jodumuhan B.O, Karadibandha B.O, Khuntakata B.O, Mahulia B.O, Mugagahira B.O, Ragadipada B.O, Sankhameri B.O, Sasang B.O, Singhanathpitha B.O"
754032,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Narasinghpur S.O, Alara B.O, Balisahi B.O, Bandhahuda B.O, Debabumi B.O, Phulpada B.O, Jillinda B.O, Jodumu B.O, Kamaladiha B.O, Kokalaba B.O, Nimasahi B.O, Nuapatna B.O, Nukhapada B.O, Paikabarabati B.O, Regeda B.O, Saradhapur B.O"
